['potestad', 'dictar', 'texto']
['diferencia', 'proceder', 'respecto']
['perjuicio', 'proceder', 'empresario']
['reintegro', 'proceder', 'empresario']
['decisión', 'afectar', 'número']
['artículo', 'reclamar', 'conflicto']
['jornada', 'reducir', 'causa']
['trabajo', 'reducir', 'causa']
['efecto', 'entender', 'reducción']
['trabajo', 'suspender', 'causa']
['reducción', 'promover', 'desarrollo']
['jornada', 'promover', 'desarrollo']
['polivalencia', 'incrementar', 'empleabilidad']
['supuesto', 'referir', 'artículo']
['revisión', 'permitir', 'reincorporación']
['mejoría', 'permitir', 'reincorporación']
['año', 'contar', 'fecha']
['trabajador', 'reincorporar', 'plazo']
['nacimiento', 'comprender', 'parto']
['mes', 'suspender', 'contrato']
['jornada', 'asegurar', 'protección']
['madre', 'suspender', 'contrato']
['nacimiento', 'suspender', 'contrato']
['neonato', 'permanecer', 'continuación']
['periodo', 'computar', 'instancia']
['suspensión', 'computar', 'instancia']
['neonato', 'precisar', 'condición']
['descanso', 'solicitar', 'reincorporación']
['parto', 'distribuir', 'voluntad']
['período', 'disfrutar', 'forma']
['hijo', 'cumplir', 'mes']
['hija', 'cumplir', 'mes']
['período', 'comunicar', 'empresa']
['parto', 'disfrutar', 'régimen']
['conforme', 'determinar', 'persona']
['persona', 'comunicar', 'empresa']
['progenitor', 'ejercer', 'derecho']
['semana', 'disfrutar', 'jornada']
['semana', 'disfrutar', 'período']
['semana', 'ejercitar', 'régimen']
['término', 'determinar', 'supuesto']
['apartado', 'iniciar', 'semana']
['empresa', 'limitar', 'disfrute']
['contrato', 'referir', 'apartado']
['progenitor', 'proceder', 'supuesto']
['ampliación', 'proceder', 'supuesto']
['suspensión', 'finalizar', 'día']
['contrato', 'finalizar', 'día']
['día', 'iniciar', 'suspensión']
['parto', 'cumplir', 'mes']
['trabajador', 'reincorporar', 'puesto']
['actuación', 'resultar', 'efectividad']
['tutela', 'resultar', 'efectividad']
['protección', 'requerir', 'continuidad']
['víctima', 'requerir', 'continuidad']
['juez', 'prorrogar', 'suspensión']
['supuesto', 'referir', 'apartado']
['contrato', 'extinguir', 'a']
['trabajo', 'extinguir', 'a']
['derecho', 'recibir', 'indemnización']
['cantidad', 'resultar', 'día']
['duración', 'incluir', 'contrato']
['denuncia', 'expresar', 'trabajador']
['prórroga', 'expresar', 'trabajador']
['trabajador', 'continuar', 'servicio']
['denuncia', 'continuar', 'prestación']
['contrato', 'considerar', 'tiempo']
['parte', 'formular', 'denuncia']
['contrato', 'formular', 'denuncia']
['trabajador', 'mediar', 'preaviso']
['preaviso', 'señalar', 'convenio']
['contratante', 'seguir', 'trámite']
['fuerza', 'imposibilitar', 'prestación']
['existencia', 'constatar', 'conforme']
['contrato', 'comunicar', 'trabajador']
['trabajador', 'solicitar', 'presencia']
['momento', 'proceder', 'firma']
['empresario', 'impedir', 'presencia']
['trabajador', 'solicitar', 'extinción']
['negativa', 'reintegrar', 'trabajador']
['ley', 'entender', 'despido']
['extinción', 'afectar', 'a']
['trabajador', 'entender', 'causa']
['mercado', 'entender', 'despido']
['contrato', 'afectar', 'totalidad']
['trabajo', 'afectar', 'totalidad']
['contrato', 'referir', 'párrafo']
['extinción', 'considerar', 'fraude']
['trabajador', 'versar', 'mínimo']
['posibilidad', 'evitar', 'despido']
['despido', 'atenuar', 'consecuencia']
['escrito', 'consignar', 'extremo']
['trabajador', 'integrar', 'comisión']
['término', 'establecer', 'comunicación']
['comunicación', 'referir', 'párrafo']
['periodo', 'remitir', 'caso']
['consulta', 'remitir', 'caso']
['parte', 'suponer', 'caso']
['actuación', 'resultar', 'fin']
['mediación', 'resultar', 'fin']
['iniciativa', 'transcurrir', 'periodo']
['consulta', 'comunicar', 'autoridad']
['empresario', 'comunicar', 'autoridad']
['acuerdo', 'trasladar', 'copia']
['caso', 'remitir', 'representante']
['despido', 'adoptar', 'condición']
['despido', 'producir', 'caducidad']
['acuerdo', 'comunicar', 'decisión']
['empresario', 'notificar', 'despido']
['caso', 'transcurrir', 'día']
['decisión', 'impugnar', 'través']
['representante', 'paralizar', 'tramitación']
['trabajador', 'paralizar', 'tramitación']
['autoridad', 'impugnar', 'acuerdo']
['prestación', 'informar', 'decisión']
['desempleo', 'informar', 'decisión']
['trabajo', 'constatar', 'autoridad']
['procedimiento', 'iniciar', 'solicitud']
['medio', 'estimar', 'comunicación']
['prueba', 'estimar', 'comunicación']
['trabajador', 'ostentar', 'condición']
['autoridad', 'dictar', 'actuación']
['caso', 'constatar', 'existencia']
['empresa', 'corresponder', 'decisión']
['autoridad', 'constatar', 'fuerza']
['fuerza', 'acordar', 'totalidad']
['indemnización', 'corresponder', 'trabajador']
['procedimiento', 'incluir', 'trabajador']
['enero', 'existir', 'obligación']
['obligación', 'abonar', 'cuota']
['trabajador', 'ofrecer', 'trabajador']
['mes', 'incluir', 'medida']
['empresa', 'someter', 'procedimiento']
['empleo', 'verificar', 'acreditación']
['caso', 'requerir', 'empresa']
['empresa', 'proceder', 'cumplimiento']
['artículo', 'incluir', 'trabajador']
['edad', 'efectuar', 'aportación']
['empresario', 'ofrecer', 'trabajador']
['curso', 'facilitar', 'adaptación']
['empresario', 'abonar', 'trabajador']
['salario', 'venir', 'extinción']
['empresario', 'transcurrir', 'mínimo']
['modificación', 'finalizar', 'formación']
['c', 'concurrir', 'causa']
['extinción', 'afectar', 'número']
['trabajo', 'tratar', 'extinción']
['artículo', 'seguir', 'procedimiento']
['artículo', 'exigir', 'observancia']
['trabajador', 'expresar', 'causa']
['indemnización', 'referir', 'párrafo']
['derecho', 'exigir', 'abono']
['trabajador', 'exigir', 'abono']
['representante', 'tratar', 'persona']
['plazo', 'finalizar', 'periodo']
['preaviso', 'finalizar', 'periodo']
['suspensión', 'referir', 'letra']
['persona', 'solicitar', 'permiso']
['trabajo', 'finalizar', 'periodo']
['caso', 'declarar', 'procedencia']
['despido', 'requerir', 'extinción']
['caso', 'considerar', 'obstante']
['indemnización', 'determinar', 'improcedencia']
['obligación', 'abonar', 'salario']
['empresario', 'abonar', 'salario']
['decisión', 'producir', 'efecto']
['extinción', 'declarar', 'empresario']
['empresario', 'proceder', 'readmisión']
['trabajador', 'reintegrar', 'indemnización']
['contrato', 'extinguir', 'decisión']
['trabajo', 'extinguir', 'decisión']
['despido', 'notificar', 'escrito']
['hecho', 'motivar', 'fecha']
['convenio', 'establecer', 'exigencia']
['trabajador', 'proceder', 'apertura']
['delegado', 'proceder', 'apertura']
['empresario', 'constar', 'audiencia']
['despido', 'cumplir', 'requisito']
['despido', 'surtir', 'efecto']
['salario', 'percibir', '7']
['despido', 'declarar', 'empresario']
['sentencia', 'optar', 'readmisión']
['opción', 'determinar', 'extinción']
['indemnización', 'determinar', 'extinción']
['trabajo', 'entender', 'fecha']
['caso', 'optar', 'readmisión']
['salario', 'percibir', 'fecha']
['sentencia', 'declarar', 'improcedencia']
['supuesto', 'optar', 'empresario']
['fecha', 'presentar', 'demanda']
['empresario', 'reclamar', 'abono']
['empresa', 'aplicar', 'especialidad']
['sanción', 'establecer', 'disposición']
['plazo', 'prescribir', 'año']
['efecto', 'considerar', 'contrato']
['día', 'terminar', 'prestación']
['lugar', 'extinguir', 'contrato']
['año', 'computar', 'día']
['plazo', 'quedar', 'presentación']
['caducidad', 'quedar', 'presentación']
['plazo', 'computar', 'día']
['empresario', 'prescribir', 'conforme']
['falta', 'prescribir', 'día']
['trabajador', 'corresponder', 'delegado']
['mayoría', 'elegir', 'sufragio']
['trabajador', 'elegir', 'sufragio']
['delegado', 'ejercer', 'empresario']
['personal', 'ejercer', 'empresario']
['delegado', 'observar', 'norma']
['personal', 'observar', 'norma']
['trabajo', 'alcanzar', 'trabajador']
['censo', 'alcanzar', 'trabajador']
['convenio', 'pactar', 'constitución']
['miembro', 'designar', 'componente']
['comité', 'guardar', 'proporcionalidad']
['cuestión', 'afectar', 'trabajador']
['artículo', 'entender', 'información']
['cuestión', 'proceder', 'examen']
['consulta', 'entender', 'intercambio']
['cuestión', 'incluir', 'caso']
['derecho', 'informar', 'a']
['actividad', 'incluir', 'actuación']
['producción', 'incluir', 'programa']
['venta', 'incluir', 'programa']
['tipo', 'utilizar', 'contrato']
['derecho', 'recibir', 'información']
['medida', 'adoptar', 'igualdad']
['periodicidad', 'proceder', 'caso']
['c', 'informar', 'sanción']
['derecho', 'recibir', 'copia']
['derecho', 'emitir', 'informe']
['empresa', 'implicar', 'incidencia']
['incidencia', 'afectar', 'volumen']
['información', 'facilitar', 'empresario']
['contenido', 'permitir', 'representante']
['representante', 'proceder', 'examen']
['trabajador', 'proceder', 'examen']
['tal', 'permitir', 'representante']
['manera', 'permitir', 'representante']
['información', 'reunir', 'empresario']
['empresario', 'obtener', 'respuesta']
['caso', 'llegar', 'acuerdo']
['facultad', 'reconocer', 'empresario']
['consulta', 'permitir', 'criterio']
['informe', 'emitir', 'comité']
['competencia', 'ejercer', 'labor']
['a', 'ejercer', 'labor']
['empresa', 'formular', 'caso']
['vigor', 'formular', 'caso']
['empresa', 'conseguir', 'establecimiento']
['artículo', 'entender', 'perjuicio']
['convenio', 'establecer', 'disposición']
['representación', 'ejercer', 'artículo']
['órgano', 'ejercer', 'acción']
['comité', 'utilizar', 'ámbito']
['empresa', 'atribuir', 'carácter']
['experto', 'asistir', 'obligación']
['comité', 'determinar', 'acuerdo']
['empresa', 'determinar', 'acuerdo']
['centro', 'elegir', 'miembro']
['trabajo', 'elegir', 'miembro']
['comité', 'elaborar', 'reglamento']
['ley', 'remitir', 'copia']
['comités', 'reunir', 'mes']
['derecho', 'acceder', 'registro']
['ámbito', 'comunicar', 'empresa']
['promotor', 'comunicar', 'empresa']
['propósito', 'celebrar', 'elección']
['preaviso', 'facilitar', 'copia']
['sindicato', 'solicitar', 'acuerdo']
['acuerdo', 'comunicar', 'oficina']
['publicidad', 'promover', 'elección']
['promoción', 'efectuar', 'partir']
['fecha', 'faltar', 'mes']
['mandato', 'promover', 'elección']
['promoción', 'determinar', 'falta']
['elección', 'determinar', 'falta']
['copia', 'producir', 'anterioridad']
['autoridad', 'impedir', 'desarrollo']
['requisito', 'permitir', 'validez']
['centro', 'considerar', 'efecto']
['trabajo', 'considerar', 'efecto']
['comité', 'presentar', 'fecha']
['empresa', 'presentar', 'fecha']
['convocatoria', 'cumplir', 'requisito']
['tanto', 'promover', 'elección']
['trabajador', 'elegir', 'asamblea']
['revocación', 'efectuar', 'tramitación']
['trabajo', 'cubrir', 'trabajador']
['vacante', 'referir', 'delegado']
['personal', 'cubrir', 'trabajador']
['trabajador', 'obtener', 'votación']
['extinción', 'comunicar', 'oficina']
['mandato', 'comunicar', 'oficina']
['empresa', 'disponer', 'crédito']
['hora', 'pactar', 'convenio']
['comité', 'elegir', 'trabajador']
['empresa', 'elegir', 'trabajador']
['forma', 'establecer', 'disposición']
['personal', 'pactar', 'convenio']
['elector', 'reunir', 'condición']
['condición', 'referir', 'párrafo']
['denominación', 'atribuir', 'resultado']
['coalición', 'presentar', 'trabajador']
['número', 'cubrir', 'artículo']
['puesto', 'cubrir', 'artículo']
['puesto', 'cubrir', 'candidato']
['caso', 'resultar', 'trabajador']
['empate', 'resultar', 'trabajador']
['elector', 'distribuir', 'colegio']
['empresa', 'establecer', 'colegio']
['colegio', 'adaptar', 'composición']
['título', 'adaptar', 'número']
['número', 'formar', 'colegio']
['trabajador', 'formar', 'colegio']
['división', 'resultar', 'cociente']
['grupo', 'corresponder', 'fracción']
['empresa', 'ajustar', 'regla']
['elección', 'ajustar', 'regla']
['comité', 'corresponder', 'colegio']
['lista', 'contener', 'mínimo']
['nombre', 'cubrir', 'obstante']
['puesto', 'cubrir', 'obstante']
['votación', 'implicar', 'suspensión']
['lista', 'permanecer', 'número']
['puesto', 'cubrir', 'lista']
['lista', 'figurar', 'sigla']
['trabajador', 'presentar', 'b']
['lista', 'obtener', 'mínimo']
['representación', 'atribuir', 'lista']
['puesto', 'corresponder', 'conformidad']
['cociente', 'resultar', 'número']
['puesto', 'atribuir', 'lista']
['lista', 'resultar', 'candidato']
['orden', 'figurar', 'candidatura']
['regla', 'determinar', 'anulabilidad']
['órgano', 'establecer', 'título']
['efecto', 'determinar', 'número']
['año', 'computar', 'trabajador']
['año', 'computar', 'número']
['fracción', 'computar', 'trabajador']
['centro', 'constituir', 'mesa']
['trabajo', 'constituir', 'mesa']
['acta', 'resolver', 'reclamación']
['secretario', 'designar', 'suplente']
['trabajador', 'seguir', 'titular']
['empresario', 'designar', 'representante']
['representante', 'asistir', 'votación']
['empresa', 'celebrar', 'elección']
['trabajador', 'constituir', 'mesa']
['mesa', 'constituir', 'acta']
['comunicación', 'celebrar', 'elección']
['término', 'remitir', 'componente']
['mesa', 'cumplir', 'función']
['elector', 'fijar', 'número']
['b', 'fijar', 'número']
['candidatura', 'recibir', 'candidatura']
['c', 'recibir', 'candidatura']
['candidatura', 'presentar', 'd']
['d', 'señalar', 'fecha']
['acto', 'señalar', 'mesa']
['elección', 'mediar', 'día']
['candidato', 'transcurrir', 'hora']
['hora', 'deber', 'caso']
['resolución', 'tomar', 'mesa']
['mesa', 'solicitar', 'empresario']
['hora', 'resolver', 'incidencia']
['mesa', 'resolver', 'incidencia']
['corrección', 'presentar', 'hora']
['hora', 'finalizar', 'plazo']
['lista', 'publicar', 'lista']
['conjunto', 'determinar', 'número']
['candidatura', 'presentar', 'día']
['plazo', 'publicar', 'tablón']
['proclamación', 'reclamar', 'día']
['día', 'resolver', 'mesa']
['candidato', 'mediar', 'día']
['votación', 'mediar', 'día']
['votación', 'efectuar', 'centro']
['cuenta', 'regular', 'voto']
['norma', 'regular', 'voto']
['correo', 'facilitar', 'medio']
['empresario', 'facilitar', 'medio']
['mesa', 'proceder', 'recuento']
['reunión', 'extender', 'acta']
['presidente', 'remitir', 'copia']
['mesa', 'remitir', 'copia']
['votación', 'publicar', 'tablón']
['autoridad', 'proceder', 'día']
['copia', 'entregar', 'copia']
['acta', 'entregar', 'copia']
['fecha', 'finalizar', 'plazo']
['papeleta', 'cumplir', 'plazo']
['publicación', 'proceder', 'registro']
['7', 'corresponder', 'oficina']
['certificación', 'consignar', 'sindicato']
['función', 'requerir', 'precisión']
['facultad', 'requerir', 'precisión']
['efecto', 'proceder', 'oficina']
['autoridad', 'extender', 'certificación']
['organización', 'solicitar', 'denegación']
['dato', 'impedir', 'cómputo']
['día', 'proceder', 'subsanación']
['requerimiento', 'comunicar', 'sindicato']
['sindicato', 'obtener', 'representación']
['oficina', 'proceder', 'registro']
['autoridad', 'proceder', 'plazo']
['registro', 'comunicar', 'sindicato']
['denegación', 'deber', 'ausencia']
['registro', 'deber', 'ausencia']
['oficina', 'proceder', 'trámite']
['denegación', 'comunicar', 'presidente']
['registro', 'comunicar', 'presidente']
['registro', 'impugnar', 'orden']
['interés', 'incluir', 'empresa']
['empresa', 'concurrir', 'interés']
['interés', 'impugnar', 'elección']
['decisión', 'adoptar', 'mesa']
['vicio', 'afectar', 'garantía']
['número', 'figurar', 'acta']
['trabajador', 'figurar', 'acta']
['mesa', 'requerir', 'reclamación']
['procedimiento', 'regular', 'apartado']
['árbitro', 'designar', 'arreglo']
['autoridad', 'establecer', 'forma']
['forma', 'atender', 'principio']
['designación', 'atender', 'principio']
['asunto', 'tratar', 'b']
['arbitraje', 'compartir', 'despacho']
['procedimiento', 'iniciar', 'escrito']
['hecho', 'resolver', 'reclamación']
['sindicato', 'presentar', 'candidatura']
['día', 'computar', 'día']
['impugnación', 'quedar', 'tramitación']
['planteamiento', 'interrumpir', 'plazo']
['arbitraje', 'interrumpir', 'plazo']
['registro', 'suspender', 'tramitación']
['árbitro', 'convocar', 'parte']
['derecho', 'incluir', 'personación']
['acta', 'notificar', 'interesado']
['votación', 'proceder', 'registro']
['laudo', 'impugnar', 'orden']
['derecho', 'reunir', 'asamblea']
['asamblea', 'convocar', 'delegado']
['día', 'comunicar', 'empresario']
['presidencia', 'comunicar', 'empresario']
['empresa', 'asistir', 'asamblea']
['asamblea', 'acordar', 'medida']
['medida', 'evitar', 'perjuicio']
['empresario', 'facilitar', 'centro']
['b', 'transcurrir', 'mes']
['convocante', 'comunicar', 'empresario']
['votación', 'someter', 'asamblea']
['adopción', 'afectar', 'conjunto']
['acuerdo', 'afectar', 'conjunto']
['trabajador', 'requerir', 'validez']
['actividad', 'comunicar', 'trabajador']
['término', 'acordar', 'empresa']
['discrepancia', 'resolver', 'autoridad']
['empresario', 'constituir', 'expresión']
['trabajador', 'regular', 'condición']
['empresario', 'regular', 'condición']
['productividad', 'regular', 'paz']
['trabajador', 'negociar', 'convenio']
['artículo', 'inaplicar', 'empresa']
['empresa', 'afectar', 'materia']
['acuerdo', 'determinar', 'exactitud']
['momento', 'resultar', 'convenio']
['acuerdo', 'notificar', 'comisión']
['parte', 'someter', 'discrepancia']
['convenio', 'disponer', 'plazo']
['parte', 'recurrir', 'procedimiento']
['procedimiento', 'establecer', 'acuerdo']
['acuerdo', 'referir', 'apartado']
['apartado', 'incluir', 'compromiso']
['compromiso', 'someter', 'discrepancia']
['parte', 'someter', 'solución']
['condición', 'afectar', 'centro']
['trabajo', 'afectar', 'centro']
['garantía', 'asegurar', 'imparcialidad']
['imparcialidad', 'dictar', 'plazo']
['día', 'contar', 'fecha']
['procedimiento', 'referir', 'párrafo']
['párrafo', 'finalizar', 'inaplicación']
['trabajo', 'comunicar', 'autoridad']
['comunidad', 'establecer', 'acuerdo']
['negociación', 'fijar', 'caso']
['regla', 'resolver', 'conflicto']
['cláusula', 'pactar', 'convenio']
['asociación', 'contar', 'legitimación']
['empresario', 'elaborar', 'acuerdo']
['empresa', 'negociar', 'momento']
['contratación', 'atribuir', 'ley']
['medida', 'favorecer', 'conciliación']
['artículo', 'disponer', 'prioridad']
['asociación', 'reunir', 'requisito']
['comunidad', 'negociar', 'acuerdo']
['decisión', 'obtener', 'respaldo']
['mayoría', 'constituir', 'comisión']
['artículo', 'considerar', 'materia']
['convenio', 'regular', 'materia']
['general', 'afectar', 'condición']
['procedimiento', 'resolver', 'discrepancia']
['parte', 'determinar', 'contenido']
['negociación', 'existir', 'caso']
['deber', 'negociar', 'medida']
['medida', 'promover', 'igualdad']
['contratación', 'reconocer', 'parte']
['deber', 'negociar', 'plan']
['deber', 'negociar', 'través']
['negociación', 'desarrollar', 'empresa']
['condición', 'establecer', 'convenio']
['contratación', 'referir', 'apartado']
['convenio', 'expresar', 'contenido']
['parte', 'concertir', 'b']
['artículo', 'adaptar', 'caso']
['procedimiento', 'establecer', 'respecto']
['denuncia', 'finalizar', 'vigencia']
['parte', 'entender', 'cuestión']
['comisión', 'incluir', 'sometimiento']
['vigencia', 'corresponder', 'parte']
['parte', 'establecer', 'duración']
['convenio', 'pactar', 'periodo']
['sujeto', 'reunir', 'requisito']
['convenio', 'prorrogar', 'año']
['año', 'mediar', 'denuncia']
['denuncia', 'expresar', 'parte']
['duración', 'producir', 'término']
['término', 'establecer', 'convenio']
['pacto', 'mantener', 'vigencia']
['parte', 'adoptar', 'acuerdo']
['fin', 'adaptar', 'condición']
['vigencia', 'desarrollar', 'actividad']
['vigencia', 'determinar', 'acuerdo']
['parte', 'determinar', 'acuerdo']
['procedimiento', 'alcanzar', 'acuerdo']
['negociación', 'alcanzar', 'acuerdo']
['acuerdo', 'incluir', 'compromiso']
['acuerdo', 'especificar', 'criterio']
['desarrollo', 'expresar', 'particular']
['arbitraje', 'expresar', 'particular']
['procedimiento', 'entender', 'arbitraje']
['carácter', 'transcurrir', 'año']
['convenio', 'dictar', 'laudo']
['laudo', 'perder', 'pacto']
['aspecto', 'mantener', 'sección']
['intervención', 'corresponder', 'sección']
['negociación', 'corresponder', 'sección']
['personal', 'tratar', 'convenio']
['convenio', 'afectar', 'pluralidad']
['legitimación', 'negociar', 'representación']
['sindicato', 'contar', 'mínimo']
['empresario', 'negociar', 'a']
['asociación', 'contar', 'representatividad']
['comunidad', 'reunir', 'requisito']
['derecho', 'formar', 'parte']
['comisión', 'efectuar', 'respeto']
['artículo', 'representar', 'mínimo']
['empresario', 'ocupar', 'mayoría']
['trabajador', 'entender', 'comisión']
['organización', 'ostentar', 'condición']
['representatividad', 'entender', 'comisión']
['supuesto', 'referir', 'párrafo']
['comisión', 'efectuar', 'proporción']
['representatividad', 'ostentar', 'organización']
['componente', 'corresponder', 'parte']
['comisión', 'corresponder', 'parte']
['acuerdo', 'designar', 'presidente']
['presidente', 'contar', 'asistencia']
['convenio', 'superar', 'número']
['comisión', 'optarar', 'elección']
['parte', 'consignar', 'acta']
['sesión', 'firmar', 'acta']
['empresario', 'promover', 'negociación']
['negociación', 'comunicar', 'parte']
['parte', 'expresar', 'comunicación']
['legitimación', 'ostentar', 'conformidad']
['parte', 'negociar', 'principio']
['supuesto', 'producir', 'violencia']
['bien', 'comprobar', 'existencia']
['parte', 'comprobar', 'existencia']
['existencia', 'quedar', 'inmediato']
['comunicación', 'proceder', 'comisión']
['comunicación', 'responder', 'propuesta']
['negociación', 'establecer', 'calendario']
['parte', 'establecer', 'calendario']
['acuerdo', 'requerir', 'caso']
['comisión', 'requerir', 'caso']
['parte', 'acordar', 'intervención']
['ley', 'formalizar', 'escrito']
['convenio', 'presentar', 'autoridad']
['parte', 'firmar', 'vez']
['convenio', 'remitir', 'órgano']
['registro', 'disponer', 'autoridad']
['convenio', 'entrar', 'vigor']
['fecha', 'acordar', 'parte']
['autoridad', 'estimar', 'convenio']
['tercero', 'dirigir', 'oficio']
['convenio', 'contener', 'discriminación']
['comunidad', 'proceder', 'ámbito']
['autoridad', 'dirigir', 'jurisdicción']
['jurisdicción', 'entender', 'convenio']
['convenio', 'contener', 'cláusula']
['convenio', 'corresponder', 'comisión']
['acuerdo', 'referir', 'artículo']
['acuerdo', 'suscribir', 'compromiso']
['laudo', 'resolver', 'punto']
['aplicación', 'intervenir', 'comisión']
['convenio', 'intervenir', 'comisión']
['conflicto', 'referir', 'artículo']
['parte', 'someter', 'sección']
['materia', 'extender', 'efecto']
['imposibilidad', 'suscribir', 'ámbito']
['decisión', 'adoptar', 'instancia']
['extensión', 'adoptar', 'instancia']
['procedimiento', 'determinar', 'duración']
['duración', 'exceder', 'mes']
['ausencia', 'expresar', 'plazo']
['resolución', 'expresar', 'plazo']
['capacidad', 'iniciar', 'procedimiento']
['precepto', 'disponer', 'disposición']
['aplicación', 'suscribir', 'marco']
['maternidad', 'guardar', 'fin']
['lactancia', 'interrumpir', 'cómputo']
['paternidad', 'interrumpir', 'cómputo']
['salario', 'afectar', 'concepto']
['término', 'regir', 'momento']
['convenio', 'establecer', 'régimen']
['personal', 'gozar', 'garantía']
['dirección', 'gozar', 'garantía']
['efecto', 'ostentar', 'representación']
['disposición', 'gozar', 'capacidad']
['capacidad', 'obtener', 'cesión']
['término', 'establecer', 'disposición']
['consulta', 'considerar', 'asociación']
['presente', 'regular', 'materia']
['numeración', 'respetar', 'texto']
['atribución', 'corresponder', 'jurisdicción']
['apoyo', 'establecer', 'norma']
['cuanto', 'constituir', 'funcionamiento']
['inaplicación', 'afectar', 'centro']
['convenio', 'establecer', 'cláusula']
['cláusula', 'posibilitar', 'extinción']
['contrato', 'cumplir', 'requisito']
['trabajo', 'cumplir', 'requisito']
['comunidad', 'remitir', 'copia']
['consulta', 'establecer', 'conforme']
['periodo', 'someter', 'común']
['consulta', 'someter', 'común']
['efecto', 'considerar', 'efecto']
['encadenamiento', 'surtir', 'efecto']
['obligación', 'proceder', 'cobertura']
['trabajo', 'tratar', 'través']
['previsión', 'continuar', 'puesto']
['trabajador', 'continuar', 'puesto']
['trabajador', 'acceder', 'empleo']
['empleo', 'superar', 'proceso']
['organismo', 'formar', 'parte']
['entidad', 'formar', 'parte']
['noviembre', 'efectuar', 'conforme']
['entidad', 'referir', 'artículo']
['caso', 'entender', 'insuficiencia']
['trimestre', 'entender', 'causa']
['entidad', 'referir', 'párrafo']
['persona', 'considerar', 'reducción']
['empresa', 'celebrar', 'contrato']
['aprendizaje', 'continuar', 'aplicación']
['aprendizaje', 'celebrar', 'trabajador']
['contrato', 'prever', 'artículo']
['interinidad', 'celebrar', 'beneficiario']
['perceptor', 'sustituir', 'trabajador']
['excedencia', 'referir', 'artículo']
['cuantía', 'especificar', 'continuación']
['trabajador', 'sustituir', 'b']
['trabajador', 'sustituir', 'c']
['trabajador', 'sustituir', 'beneficio']
['contratación', 'afectar', 'cónyuge']
['empresario', 'ostentar', 'cargo']
['caso', 'corresponder', 'supuesto']
['ley', 'continuar', 'aplicación']
['cosa', 'establecer', 'disposición']
['aprendizaje', 'referir', 'artículo']
['contrato', 'entender', 'perjuicio']
['junio', 'seguir', 'aplicación']
['contrato', 'celebrar', 'partir']
['artículo', 'tomar', 'consideración']
['artículo', 'quedar', 'cómputo']
['mes', 'referir', 'artículo']
['fecha', 'computar', 'caso']
['diciembre', 'continuar', 'aplicación']
['tanto', 'entrar', 'vigor']
['paternidad', 'referir', 'párrafo']
['parto', 'guardar', 'fin']
['adopción', 'producir', 'familia']
['acogimiento', 'producir', 'familia']
['familia', 'adquirir', 'condición']
['octubre', 'entrar', 'vigor']
['artículo', 'aplicar', 'modo']
['febrero', 'regir', 'normativa']
['vigor', 'dictar', 'resolución']
['febrero', 'calcular', 'razón']
['fecha', 'prorratear', 'mes']
['febrero', 'resultar', 'número']
['caso', 'aplicar', 'importe']
['amparo', 'concertar', 'caso']
['despido', 'calcular', 'conforme']
['madre', 'disfrutar', 'periodo']
['progenitor', 'contar', 'periodo']
['madre', 'ceder', 'progenitor']
['acogimiento', 'disponer', 'periodo']
['progenitor', 'disponer', 'periodo']
['semana', 'disfrutar', 'tiempo']
['progenitoresca', 'disponer', 'total']
['disfrute', 'disfrutar', 'forma']
['progenitor', 'disfrutar', 'máximo']
['progenitor', 'disfrutar', 'periodo']
['contrato', 'incluir', 'semana']
['trabajo', 'incluir', 'semana']
['tanto', 'producir', 'equiparación']
['sistema', 'aplicar', 'particularidad']
['progenitor', 'seguir', 'uso']
['trabajo', 'encontrar', 'situación']
['derecho', 'suspender', 'actividad']
['norma', 'regular', 'actividad']
['derecho', 'suspender', 'contrato']
['periodo', 'distribuir', 'opción']
['suspensión', 'distribuir', 'opción']
['apartado', 'disfrutar', 'régimen']
['término', 'determinar', 'disposición']
['ley', 'dictar', 'acuerdo']
['organización', 'dictar', 'norma']
['caso', 'respetar', 'contenido']
['norma', 'respetar', 'contenido']
